,type,sentence_count,syll_count,word_count,word_per_sentence,word_length,avg_word_length,count_unique_word,TTR,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,syll_count_scaled,word_count_scaled,count_unique_word_scaled,word_length_scaled,sentence_count_scaled,TTR_scaled,avg_word_length_scaled,word_per_sentence_scaled,E-I,N-S,T-F,J-P
0,INFJ,24,870,579,24.125,3154,5.447322970639033,370,0.6390328151986183,0.075,0.7979999999999999,0.127,0.9785,0.06293706293706294,0.04195804195804196,0.0,0.16083916083916086,0.05594405594405594,0.22377622377622375,0.07692307692307693,0.05594405594405594,0.02797202797202797,0.13986013986013987,-1.6398437533535573,-1.6942699660957279,-1.295213061695709,-1.6708477062496123,-3.4285714285714284,0.7644667541858131,0.9861756034664948,0.4941620734445874,1,1,0,1
1,ENTP,41,1700,1252,30.536585365853657,6266,5.00479233226837,607,0.4848242811501597,0.086,0.721,0.193,0.9993,0.08900523560209424,0.06806282722513089,0.0,0.11518324607329845,0.08376963350785341,0.193717277486911,0.1518324607329843,0.06282722513089005,0.031413612565445025,0.09424083769633508,-0.19616394687039695,-0.023769950558775687,0.02111272708858754,-0.17395221868662247,-1.0,-0.8882108120663668,7.318156521045038,0.023769950558775687,0,1,1,0
2,INTP,42,1326,895,21.30952380952381,4879,5.4513966480446925,525,0.5865921787709497,0.08,0.723,0.19699999999999998,0.9989,0.09137055837563453,0.07614213197969544,0.0,0.12690355329949238,0.03553299492385787,0.2131979695431472,0.1218274111675127,0.08121827411167512,0.06598984771573604,0.116751269035533,-0.8466895464182306,-0.9099044313116612,-0.4343248875962745,-0.8411096869545746,-0.8571428571428571,0.4773302257361017,0.9243934395858292,1.061555169863605,1,1,1,0
3,INTJ,48,1699,1160,24.166666666666668,6028,5.196551724137931,591,0.5094827586206897,0.053,0.813,0.134,0.9984,0.05232558139534884,0.08139534883720931,0.0,0.13953488372093026,0.034883720930232565,0.26744186046511625,0.13953488372093026,0.06976744186046513,0.04651162790697674,0.08139534883720931,-0.19790332013122008,-0.2521295366351496,-0.0677531489474831,-0.2884320149719668,0.0,0.2687235690498532,1.1439834412948993,0.5615745802170428,1,1,1,1
4,ENTJ,42,1509,1035,24.642857142857142,5539,5.351690821256039,545,0.5265700483091788,0.127,0.728,0.145,0.9665,0.057777777777777775,0.06222222222222223,0.0,0.10666666666666667,0.05333333333333334,0.21777777777777774,0.1288888888888889,0.07111111111111111,0.057777777777777775,0.10222222222222224,-0.5283842396876062,-0.5624007133693533,-0.32324254255118623,-0.5236447056590818,-0.8571428571428571,0.5747548587103207,0.9310882671572668,0.6561341655975789,0,1,1,1
5,INTJ,50,2249,1574,31.48,8367,5.315756035578145,761,0.4834815756035578,0.09,0.773,0.136,0.9971,0.07894736842105263,0.05921052631578948,0.0,0.16447368421052633,0.042763157894736836,0.21710526315789475,0.12828947368421054,0.08223684210526316,0.02631578947368421,0.06907894736842106,0.7587519733214765,0.7754886007085329,0.8764467839357676,0.8366446384373626,0.2857142857142857,1.1301865470814054,1.0788612981196035,2.714210102479865,1,1,1,1
6,INFJ,47,2022,1422,30.25531914893617,7588,5.336146272855133,689,0.4845288326300984,0.11,0.706,0.184,0.9989,0.058631921824104226,0.058631921824104226,0.0,0.14332247557003258,0.0488599348534202,0.2312703583061889,0.11074918566775244,0.08143322475570032,0.03257328990228013,0.1237785016286645,0.36391424311463627,0.3981988497997413,0.4765503417734496,0.4619397589991978,-0.14285714285714285,1.196764737048116,1.1600730620681412,-2.7873919485981893,1,1,0,1
7,INTJ,50,1808,1274,25.48,6709,5.266091051805337,612,0.4803767660910518,0.083,0.7170000000000001,0.2,0.9995,0.0625,0.04779411764705882,0.0,0.10661764705882353,0.06985294117647059,0.22058823529411764,0.13602941176470587,0.08088235294117647,0.029411764705882356,0.13602941176470587,-0.008311634701503843,0.030837776546444155,0.04888331334985962,0.03913412481929157,0.2857142857142857,1.5851763267120589,1.2690319861534909,0.10793221791255454,1,1,1,1
8,INFJ,16,1069,764,47.75,3954,5.175392670157068,421,0.5510471204188482,0.122,0.7170000000000001,0.161,0.9919,0.07386363636363638,0.045454545454545456,0.0,0.10795454545454546,0.05113636363636364,0.2272727272727273,0.125,0.09090909090909093,0.05113636363636364,0.10227272727272728,-1.2937084744497631,-1.2350686245291067,-1.0119530818307338,-1.2860416683156817,-4.571428571428571,0.8193496796314133,1.0412714263598182,0.2701712616157421,1,1,0,1
9,INTP,39,1953,1305,33.46153846153846,7057,5.407662835249043,661,0.5065134099616858,0.079,0.797,0.124,0.995,0.08430232558139535,0.07848837209302326,0.0,0.12209302325581395,0.061046511627906974,0.18023255813953487,0.13662790697674418,0.06976744186046513,0.07848837209302326,0.08430232558139535,0.24389748811784345,0.10778502837652666,0.321035058710326,0.20652475132055131,-1.2857142857142858,2.9784754297122844,1.916080131269216,-0.08383279984840962,1,1,1,0
10,INFJ,50,2256,1579,31.58,8190,5.186827105763141,747,0.4730842305256491,0.141,0.74,0.11900000000000001,-0.9906,0.09742120343839543,0.08022922636103152,0.0,0.1002865329512894,0.045845272206303724,0.16905444126074498,0.18624641833810887,0.10888252148997137,0.06303724928366762,0.06017191977077364,0.7709275861472379,0.7878994477779011,0.7986891424042057,0.7515063025444805,0.2857142857142857,1.0136942533171391,0.9538099114854572,2.757648067222654,1,1,0,1
11,ENFJ,38,1190,868,22.842105263157894,4436,5.110599078341014,421,0.4850230414746544,0.08,0.655,0.265,0.9996,0.03448275862068965,0.04137931034482759,0.0,0.15172413793103448,0.06206896551724138,0.2413793103448276,0.10344827586206896,0.05517241379310345,0.03448275862068965,0.15172413793103448,-1.08324430989017,-0.9769230054862492,-1.0119530818307338,-1.0541960304604885,-1.4285714285714286,1.0358575610849177,1.0790983778048893,0.6838461038403745,0,1,0,1
12,INFJ,50,1846,1343,26.86,6860,5.107967237527922,635,0.4728220402084885,0.086,0.7879999999999999,0.126,0.982,0.07636363636363637,0.08363636363636362,0.0,0.10181818181818182,0.05090909090909091,0.17454545454545456,0.16727272727272727,0.08727272727272728,0.08363636363636362,0.07272727272727272,0.05778454920977338,0.20210746610372454,0.17662801015171115,0.11176626447932096,0.2857142857142857,0.8739311493869456,0.5530041350474447,0.7073761313630359,1,1,0,1
13,INTJ,50,2494,1674,33.48,8888,5.309438470728793,751,0.4486260454002389,0.096,0.736,0.168,0.9991,0.04198473282442748,0.07633587786259542,0.0,0.15648854961832062,0.022900763358778626,0.2480916030534351,0.1450381679389313,0.053435114503816786,0.049618320610687015,0.1068702290076336,1.1848984222231322,1.0237055420958958,0.8209056114132234,1.0872495706418348,0.2857142857142857,0.8018962266556967,1.0620725647492748,3.582969397335636,1,1,1,1
14,INTP,45,1453,957,21.266666666666666,5039,5.265412748171369,487,0.5088819226750261,0.09300000000000001,0.764,0.14300000000000002,0.9961,0.0728476821192053,0.046357615894039736,0.0,0.15231788079470202,0.019867549668874173,0.2185430463576159,0.17218543046357615,0.0728476821192053,0.026490066225165563,0.08609271523178808,-0.6257891422936989,-0.7560099276514963,-0.6453813431819423,-0.7641484793677884,-0.42857142857142855,0.8536678151658461,1.010765138682205,1.7640231645201585,1,1,1,0
15,INTP,50,1940,1321,26.42,7044,5.332323996971991,678,0.5132475397426193,0.136,0.6990000000000001,0.165,0.9962,0.10074626865671643,0.05597014925373135,0.0,0.09701492537313433,0.02985074626865672,0.2126865671641791,0.17537313432835822,0.09328358208955224,0.048507462686567165,0.08582089552238806,0.22128563572714333,0.14749973899850471,0.4154550519986511,0.20027165320412496,0.2857142857142857,2.8166494043956427,1.3577763226154267,0.5162490864947665,1,1,1,0
16,INFJ,46,2187,1461,31.76086956521739,7961,5.4490075290896645,738,0.5051334702258727,0.064,0.768,0.168,0.9993,0.07777777777777778,0.05555555555555555,0.0,0.1259259259259259,0.05555555555555555,0.2629629629629629,0.12222222222222222,0.05555555555555555,0.025925925925925925,0.0962962962962963,0.6509108311504452,0.4950034569408128,0.7487020871339158,0.6413555741858928,-0.2857142857142857,1.5125189059506663,1.2956587781215825,-1.7325120992928449,1,1,0,1
17,INFP,50,2597,1812,36.24,9342,5.155629139072848,794,0.4381898454746137,0.064,0.7040000000000001,0.23199999999999998,0.9999,0.057347670250896064,0.06451612903225806,0.0,0.13978494623655913,0.03942652329749104,0.25806451612903225,0.1003584229390681,0.08243727598566307,0.028673835125448032,0.12903225806451613,1.3640538680879097,1.3662449212104566,1.0597326532601632,1.3056269971693404,0.2857142857142857,0.7756534987308632,0.9556317296408244,4.781857224236599,1,1,0,0
18,INFJ,50,2396,1612,32.24,8703,5.398883374689826,746,0.4627791563275434,0.077,0.71,0.213,0.9998,0.06769230769230769,0.06769230769230769,0.0,0.14461538461538462,0.05538461538461538,0.2584615384615385,0.12615384615384614,0.04923076923076923,0.04307692307692308,0.08923076923076922,1.0144398426624701,0.8698110384357308,0.7931350251519513,0.9982631743696134,0.2857142857142857,0.9118475049228236,1.1476782085507802,3.0443386345250585,1,1,0,1
19,INFP,50,1853,1230,24.6,6913,5.620325203252032,669,0.5439024390243903,0.042,0.7979999999999999,0.16,0.9993,0.08,0.044000000000000004,0.0,0.212,0.032,0.256,0.08,0.036000000000000004,0.024,0.124,0.06996016203553496,-0.07837767766399553,0.3654679967283613,0.13725966449244384,0.2857142857142857,-4.662909231568708,-1.751259651770685,-0.2743218718239844,1,1,0,0
20,INTP,50,1839,1159,23.18,6530,5.6341673856773085,640,0.5522001725625539,0.053,0.872,0.075,0.9447,0.06470588235294117,0.047058823529411764,0.0,0.16470588235294115,0.011764705882352941,0.27058823529411763,0.1588235294117647,0.08823529411764706,0.035294117647058816,0.05882352941176471,0.045608936384011776,-0.2546117060490232,0.20439859641298325,-0.046966226168425385,0.2857142857142857,-0.8027855418934592,0.18446216357146775,-0.8911409711715813,1,1,1,0
21,INFJ,38,1701,1168,30.736842105263158,6371,5.454623287671233,557,0.4768835616438356,0.12,0.732,0.14800000000000002,0.9942,0.09905660377358493,0.08018867924528301,0.0,0.07547169811320754,0.051886792452830184,0.17452830188679244,0.18867924528301888,0.09905660377358493,0.07075471698113207,0.07075471698113207,-0.19442457360957388,-0.2322721813241605,-0.2565931355241332,-0.12344642620779407,-1.4285714285714286,1.104708855194459,0.5314731428621298,0.16259052692691234,1,1,0,1
22,ENTJ,44,1839,1279,29.068181818181817,6706,5.243158717748241,651,0.5089913995308835,0.09300000000000001,0.705,0.20199999999999999,0.9995,0.06451612903225806,0.06451612903225806,0.0,0.11827956989247312,0.053763440860215055,0.2419354838709677,0.13978494623655913,0.08064516129032258,0.04301075268817205,0.11827956989247312,0.045608936384011776,0.043248623615812304,0.2654938861877818,0.037691102177039325,-0.5714285714285714,6.138782323946918,0.8714983050526244,-0.07568509132767154,0,1,1,1
23,INFP,28,993,711,25.392857142857142,3688,5.187060478199719,378,0.5316455696202531,0.025,0.743,0.231,0.9994,0.03787878787878788,0.05303030303030303,0.0,0.16666666666666666,0.07575757575757576,0.2348484848484849,0.09090909090909093,0.07575757575757576,0.022727272727272728,0.14393939393939395,-1.4259008422723178,-1.366623603464409,-1.2507801236776737,-1.4139896759287136,-2.8571428571428568,0.9152338072508988,1.034659193902572,0.4783182612125432,1,1,0,0
24,ENTJ,44,1635,1159,26.34090909090909,6021,5.194995685936152,581,0.5012942191544435,0.07400000000000001,0.728,0.198,0.9995,0.05232558139534884,0.034883720930232565,0.0,0.1686046511627907,0.04651162790697674,0.2965116279069768,0.09883720930232558,0.04651162790697674,0.02906976744186046,0.0872093023255814,-0.3092232088238975,-0.2546117060490232,-0.12329432147002728,-0.2917990678038887,-0.5714285714285714,0.4842445124902782,1.1460551925593925,0.44557048558579065,0,1,1,1
25,INFP,47,1660,1209,25.72340425531915,6121,5.062861869313482,571,0.4722911497105046,0.083,0.7190000000000001,0.198,0.9994,0.06511627906976744,0.0372093023255814,0.0,0.13953488372093026,0.06976744186046513,0.26046511627906976,0.07906976744186046,0.07906976744186046,0.0372093023255814,0.13488372093023254,-0.26573887730332035,-0.13050323535534175,-0.17883549399257145,-0.24369831306214734,-0.14285714285714285,1.3703529533626335,1.8673737275446969,0.9135226474873924,1,1,0,0
26,ENFP,50,2565,1910,38.2,9399,4.9209424083769635,660,0.3455497382198953,0.059000000000000004,0.79,0.151,0.9996,0.06516290726817042,0.05764411027568923,0.0,0.16040100250626566,0.06516290726817042,0.2406015037593985,0.09022556390977443,0.07518796992481203,0.05513784461152882,0.10776942355889724,1.3083939237415712,1.6094975237700724,0.31548094145807154,1.333044427372133,0.2857142857142857,0.19601207010191096,0.8282363953251831,5.6332413331952536,0,1,0,0
