,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
BarackObama,"In A Promised Land, I talk about the decisions I had to make during the first few years of my presidency. Here are some thoughts on how I approach tough questions: https://t.co/GFumGnNPln","With COVID-19 cases reaching an all-time high this week, we've got to continue to do our part to protect one another. This pandemic is far from over and your actions can help save lives. https://t.co/XJ4dbsCihB","To all of you in Georgia, today is the last day to register to vote in the upcoming runoff election. Take a few minutes right now to register to vote, and then make sure everybody you know is registered, too. https://t.co/2Ob571igh3 https://t.co/SslnFSWMfi",Thanks for sharing Marjon. I hope you get something out of A Promised Land – keep up the good work! https://t.co/61xocjGFB5,Glad to see A Promised Land in such good company. https://t.co/u9TJ83ZPyn,"If you're in Georgia, make sure you and everybody you know is registered to vote by Monday, December 7. And if you turn 18 by January 5, you're eligible to vote in the runoff. Get registered right now: https://t.co/cb19SHEChF","Join me for a conversation with the next U.S. Senators from Georgia, @ReverendWarnock and @Ossoff, along with @StaceyAbrams and @NikemaWilliams. The stakes couldn’t be higher for their runoffs: https://t.co/4fHxACdIge https://t.co/ahVWcgKgw5",,,,,,,,
justinbieber,"RT @TMobile: We're throwing the ultimate New Year's Eve celebration with @JustinBieber 🙌
Get your #BieberNYE livestream access today!",See you on New Year’s Eve. #BieberNYE on sale globally now. Free for @tmobile customers in the US. Buy access at https://t.co/G6hpTIPnbO https://t.co/cWa4kajLF0,Doing a little something with @tmobile on 12.31.20 https://t.co/r5iaCnY2rW #BieberNYE https://t.co/5pSRmD2rLF,"That time of year... 
https://t.co/uMJKBWwLbc https://t.co/suIB5DEFZY",,,,,,,,,,,
katyperry,"🎶I don’t need diamonds, no sparkly things, cause you can’t buy this feeling...🎶 BUT if ya could, wouldn’t you wanna slide into these for a little MULE-tide MEWD? 🎁💚❤️ #shoesdaytuesday @kpcollections https://t.co/YQw4g8LeGp",We ♥️ to see it! Thank you @Postmates 😉🎅🏻 https://t.co/3HJqIUft2z,I love this kind of corporate leadership and vision for a better future for ALL! #GoJoe #ThanksShell  @Airbnb ♥️ https://t.co/AlMJCJ8bRa,RT @i_D: Who are they? Wrong answers only https://t.co/wp6y6bw2KP,you are your most recently used emojis,ily. peace be with u ♥️,thank you mama ♥️🌎 https://t.co/9W2OIm8UYZ,"✨December 21, 2020 the REAL stars come out✨♥️",,,,,,,
rihanna,"Just me pullin up to Sephora to make sure @fentyskin is loaded! Straight like dat, we in stores from December 26th!! Available at @Sephora, @HarveyNichols, and @BootsUK !! Til then, see you at https://t.co/p7bMMwDkgv 🧖🏿‍♀️ https://t.co/7hzTcH3MrL",,,,,,,,,,,,,,
Cristiano,"We all miss the supporters in the stadiums and hopefully things will change very soon... But until then, the show must go on!😉 https://t.co/ppLEVWFcmJ","Always great to return to Spain and to Catalunya, always hard to play in Camp Nou against one of the best teams I ever faced. Today we were a team of Champions! A true, strong and united family! Playing like this, we have nothing to fear until the end of the season... Let’s go! https://t.co/PivPpJ3SLh","President Agnelli representing this amazing club in this historical moment in my carreer. Special thanks to the squad back there: I couldn’t do it without your help, guys! Let’s go! All together for all our big goals this season! Fino Alla Fine! https://t.co/XQg7BovXRz","Grandi ragazzi!👏🏽 
Tutti insieme 🏳️🏴Fino Alla Fine 💪🏽 https://t.co/XKplzMssJq",,,,,,,,,,,
realDonaldTrump,“10% of voters would have changed their vote if they knew about Hunter Biden.” Miranda Devine @nypost @TuckerCarlson  But I won anyway!,"“If you’re looking for Election Rigging, look no further. That’s what this is. They kept information from the public in order to influence the outcome of the Election. They RIGGED it.” @TuckerCarlson",Wow! At least 17 States have joined Texas in the extraordinary case against the greatest Election Fraud in the history of the United States. Thank you!,"At 10:00 P.M. on Election Evening, we were at 97% win with the so-called “bookies”.","If somebody cheated in the Election, which the Democrats did, why wouldn’t the Election be immediately overturned? How can a Country be run like this?",#OVERTURN,"No candidate has ever won both Florida and Ohio and lost. I won them both, by a lot! #SupremeCourt","We will soon be learning about the word “courage”, and saving our Country. I received hundreds of thousands of legal votes more, in all of the Swing States, than did my opponent.   ALL Data taken after the vote says that it was impossible for me to lose, unless FIXED!",This case had nothing to do with me. Fake News (as usual!). https://t.co/CZnO4GFcco,STOCK MARKETS AT NEW ALL TIME HIGHS!!!,RIGGED ELECTION!,There is massive evidence of widespread fraud in the four states (plus) mentioned in the Texas suit. Just look at all of the tapes and affidavits!,Germany has consistently been used by my obnoxious critics as the country that we should follow on the way to handle the China Virus. So much for that argument. I love Germany - Vaccines on the way!!! https://t.co/hEeKIqDMQn,We will be INTERVENING in the Texas (plus many other states) case. This is the big one. Our Country needs a victory!,"This was not my case as has been so incorrectly reported. The case that everyone has been waiting for is the State’s case with Texas and numerous others joining. It is very strong, ALL CRITERIA MET. How can you have a presidency when a vast majority think the election was RIGGED? https://t.co/ZKu9sNVz2U"
taylorswift13,Over here in folkloreland we feel great about it. Thanks @latimes!🌲🌲🌲🌲🌲🌲🌲🌲🌲 https://t.co/YcCMv2zcaZ,Got to do this shoot with my folklore co-conspirator Beth Garrabrant &amp; talk to @AlexJSuskind for @EW. Thank you to @StellaMcCartney for the lewks. Mr. Horse told me personally he was stoked knowing no animals were harmed in the making of Stella’s clothes🐴 https://t.co/aKTa5SQC4c https://t.co/N7NT6HZ6MU,"@_DionneWarwick I just saw that you tweeted me!! I’m a huge fan and I respect you so much, thank you for wishing me well. I hope you have a wonderful holiday season, thank you for spreading joy 💕🥰🙏","*cries in cottagecore*
*screams in soft lullabies*
*throws self to the base of a willow tree by a reflection pool at midnight*
Thanks @rollingstone
🥺🥰🙏 https://t.co/gLDp7yUUtp","It’s the 13 on the dice for me 💁🏼‍♀️🎲 Thanks Spotify, this is cute cute CUTE. I also thought I’d mention that @jackantonoff lovingly refers to people who like the song august as ‘august heads’. It felt relevant here. https://t.co/7qQFJmQdLe",,,,,,,,,,
ladygaga,".@Lamborghini was kind enough to offer to give away the Huracán EVO RWD featured in the “911” short film to support @BTWFoundation ⚡️ Funds raised will go to support our mission to build a kinder, braver world: https://t.co/o3Li62HHUE 🌍💕 https://t.co/31FzLh2Vvx",Thank you for all of the amazing #Chromatica art for the #LadyGagaxAdobe challenge ⚔️💓 @adobe https://t.co/6TpUwYND7B,🚨 “911” REMIXES OUT NOW 🚨 @brunomartini https://t.co/JvytLrMVAI https://t.co/UmwN7IbVcW,🚨 “911” REMIXES OUT NOW 🚨 @weissintune https://t.co/lD6OIKnwKa https://t.co/0nPljGXkxW,🚨 “911” REMIXES OUT NOW 🚨 @sofitukker https://t.co/XUZLRtmsii https://t.co/b5nvDchwdi,,,,,,,,,,
ArianaGrande,"dec 21st, a year after closing, the sweetener world tour is coming home to u
🤍
@netflix @netflixfilm #excusemeiloveyou https://t.co/8Dl7U5VVXG",@netflix,https://t.co/8hdPOEjOwu,🧊☁️ r.e.m. @ultabeauty @bootsuk https://t.co/QnS7aHZZoW https://t.co/iAw0aK7zcW,this is so incredibly special &amp; insane. thank u so much my UK babes 🤍 ! i love n miss u so. https://t.co/h69Dkg8Jm9,"🧊☁️ r.e.m. @ultabeauty  
https://t.co/QnS7aHZZoW https://t.co/FiaguFekdo","RT @TeamAriana: positions signed cds restocked 🤍
limited quantity
https://t.co/g3uZqqrMek",oh santa the remix ! by @mariahcarey feat me &amp; the incredible @iamjhud out now 🤍🧊☁️ and i am no longer in my body https://t.co/ruQUKmy4j0 https://t.co/wanmfNDcic,love u the most always 🤍🤍🤍 #OhSanta in 30 minutes queens  ❄️❄️❄️ @IAMJHUD @MariahCarey ❄️ 🧊 https://t.co/OtJJN0jk1y,!!! https://t.co/0cwcMK5VBV,@MariahCarey @IAMJHUD !!! https://t.co/HxOQqFR6r2,"RT @MariahCarey: Ready girls? 1 hour to go! 🔥🔥🔥 @ArianaGrande @IAMJHUD
https://t.co/k8mBxpsvIN https://t.co/Ep01ulJrLG",how it started / how it's going 🌨 #ohsanta friday @mariahcarey @iamjhud https://t.co/P5DpfUIvNi,RT @MariahCarey: MC x AG x JH 🎤🎤🎤🎅🏼 #OhSanta https://t.co/q96RjFXDFR,
TheEllenShow,Happy Day 11 of #12DaysofGiveaways. It’s not too late for your chance to win today’s gifts. Enter here! https://t.co/i96qtFMufs https://t.co/MUnksRqBZN,"@_DionneWarwick Hi, Dionne!",.@LeslieOdomJr told me what it was like watching himself in #Hamilton for the first time. https://t.co/rFWrAiVUWG,Did @Tayshia just give away the ending of #TheBachelorette? https://t.co/vcsq8Cj2Lr,#TwoTruthsandaLie got pretty interesting on the show today. #ThanksSponsor #WW84 https://t.co/uyhJVyCWIG,I was so honored to meet the family behind this viral video of a dad dancing for his son in chemo. https://t.co/Xw677gldck,"Today’s gifts are all about self-care, and because I care about yourself, I want you to head over to https://t.co/i96qtFMufs for your chance to win today’s gifts! https://t.co/uYK3I4GEZ7",.@ChanceTheRapper told me about his tweet from the legendary @_DionneWarwick. https://t.co/ereBCL11vf,"Happy birthday, @NICKIMINAJ. My goodness, how I miss you. https://t.co/spyK0a7Bne",@psutherland0825 😍,Same weekend. Different month. https://t.co/7sC5PpJjRl,There’s no better surprise than Jennifer Aniston behind a couch. https://t.co/uaRAyyOdpn,Tech. Toys. @Official_Twitch. Sounds like a great combination for today’s #12DaysofGiveaways. Go to https://t.co/i96qtFMufs for your chance to win today’s presents.,These are challenging times. Reminder to take a deep breath. Take one now. And then go pet a cat or dog.,.@OfficialJLD is so happy that her character isn’t the only female Vice President anymore. https://t.co/6iXTFqcKN2
