,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,MBTI
0,BarackObama,"In A Promised Land, I talk about the decisions I had to make during the first few years of my presidency. Here are some thoughts on how I approach tough questions: https://t.co/GFumGnNPln","With COVID-19 cases reaching an all-time high this week, we've got to continue to do our part to protect one another. This pandemic is far from over and your actions can help save lives. https://t.co/XJ4dbsCihB","To all of you in Georgia, today is the last day to register to vote in the upcoming runoff election. Take a few minutes right now to register to vote, and then make sure everybody you know is registered, too. https://t.co/2Ob571igh3 https://t.co/SslnFSWMfi",Thanks for sharing Marjon. I hope you get something out of A Promised Land – keep up the good work! https://t.co/61xocjGFB5,Glad to see A Promised Land in such good company. https://t.co/u9TJ83ZPyn,"If you're in Georgia, make sure you and everybody you know is registered to vote by Monday, December 7. And if you turn 18 by January 5, you're eligible to vote in the runoff. Get registered right now: https://t.co/cb19SHEChF","Join me for a conversation with the next U.S. Senators from Georgia, @ReverendWarnock and @Ossoff, along with @StaceyAbrams and @NikemaWilliams. The stakes couldn’t be higher for their runoffs: https://t.co/4fHxACdIge https://t.co/ahVWcgKgw5",,,,,,,,,ENTP
1,justinbieber,"RT @TMobile: We're throwing the ultimate New Year's Eve celebration with @JustinBieber 🙌
Get your #BieberNYE livestream access today!",See you on New Year’s Eve. #BieberNYE on sale globally now. Free for @tmobile customers in the US. Buy access at https://t.co/G6hpTIPnbO https://t.co/cWa4kajLF0,Doing a little something with @tmobile on 12.31.20 https://t.co/r5iaCnY2rW #BieberNYE https://t.co/5pSRmD2rLF,"That time of year... 
https://t.co/uMJKBWwLbc https://t.co/suIB5DEFZY",,,,,,,,,,,,ESFP
2,katyperry,"🎶I don’t need diamonds, no sparkly things, cause you can’t buy this feeling...🎶 BUT if ya could, wouldn’t you wanna slide into these for a little MULE-tide MEWD? 🎁💚❤️ #shoesdaytuesday @kpcollections https://t.co/YQw4g8LeGp",We ♥️ to see it! Thank you @Postmates 😉🎅🏻 https://t.co/3HJqIUft2z,I love this kind of corporate leadership and vision for a better future for ALL! #GoJoe #ThanksShell  @Airbnb ♥️ https://t.co/AlMJCJ8bRa,RT @i_D: Who are they? Wrong answers only https://t.co/wp6y6bw2KP,you are your most recently used emojis,ily. peace be with u ♥️,thank you mama ♥️🌎 https://t.co/9W2OIm8UYZ,"✨December 21, 2020 the REAL stars come out✨♥️",,,,,,,,ESFP
3,rihanna,"Just me pullin up to Sephora to make sure @fentyskin is loaded! Straight like dat, we in stores from December 26th!! Available at @Sephora, @HarveyNichols, and @BootsUK !! Til then, see you at https://t.co/p7bMMwDkgv 🧖🏿‍♀️ https://t.co/7hzTcH3MrL",,,,,,,,,,,,,,,ISFP
4,Cristiano,"We all miss the supporters in the stadiums and hopefully things will change very soon... But until then, the show must go on!😉 https://t.co/ppLEVWFcmJ","Always great to return to Spain and to Catalunya, always hard to play in Camp Nou against one of the best teams I ever faced. Today we were a team of Champions! A true, strong and united family! Playing like this, we have nothing to fear until the end of the season... Let’s go! https://t.co/PivPpJ3SLh","President Agnelli representing this amazing club in this historical moment in my carreer. Special thanks to the squad back there: I couldn’t do it without your help, guys! Let’s go! All together for all our big goals this season! Fino Alla Fine! https://t.co/XQg7BovXRz","Grandi ragazzi!👏🏽 
Tutti insieme 🏳️🏴Fino Alla Fine 💪🏽 https://t.co/XKplzMssJq",,,,,,,,,,,,ESFP
6,taylorswift13,Over here in folkloreland we feel great about it. Thanks @latimes!🌲🌲🌲🌲🌲🌲🌲🌲🌲 https://t.co/YcCMv2zcaZ,Got to do this shoot with my folklore co-conspirator Beth Garrabrant &amp; talk to @AlexJSuskind for @EW. Thank you to @StellaMcCartney for the lewks. Mr. Horse told me personally he was stoked knowing no animals were harmed in the making of Stella’s clothes🐴 https://t.co/aKTa5SQC4c https://t.co/N7NT6HZ6MU,"@_DionneWarwick I just saw that you tweeted me!! I’m a huge fan and I respect you so much, thank you for wishing me well. I hope you have a wonderful holiday season, thank you for spreading joy 💕🥰🙏","*cries in cottagecore*
*screams in soft lullabies*
*throws self to the base of a willow tree by a reflection pool at midnight*
Thanks @rollingstone
🥺🥰🙏 https://t.co/gLDp7yUUtp","It’s the 13 on the dice for me 💁🏼‍♀️🎲 Thanks Spotify, this is cute cute CUTE. I also thought I’d mention that @jackantonoff lovingly refers to people who like the song august as ‘august heads’. It felt relevant here. https://t.co/7qQFJmQdLe",,,,,,,,,,,ESFJ
7,ladygaga,".@Lamborghini was kind enough to offer to give away the Huracán EVO RWD featured in the “911” short film to support @BTWFoundation ⚡️ Funds raised will go to support our mission to build a kinder, braver world: https://t.co/o3Li62HHUE 🌍💕 https://t.co/31FzLh2Vvx",Thank you for all of the amazing #Chromatica art for the #LadyGagaxAdobe challenge ⚔️💓 @adobe https://t.co/6TpUwYND7B,🚨 “911” REMIXES OUT NOW 🚨 @brunomartini https://t.co/JvytLrMVAI https://t.co/UmwN7IbVcW,🚨 “911” REMIXES OUT NOW 🚨 @weissintune https://t.co/lD6OIKnwKa https://t.co/0nPljGXkxW,🚨 “911” REMIXES OUT NOW 🚨 @sofitukker https://t.co/XUZLRtmsii https://t.co/b5nvDchwdi,,,,,,,,,,,ISFP
8,ArianaGrande,"dec 21st, a year after closing, the sweetener world tour is coming home to u
🤍
@netflix @netflixfilm #excusemeiloveyou https://t.co/8Dl7U5VVXG",@netflix,https://t.co/8hdPOEjOwu,🧊☁️ r.e.m. @ultabeauty @bootsuk https://t.co/QnS7aHZZoW https://t.co/iAw0aK7zcW,this is so incredibly special &amp; insane. thank u so much my UK babes 🤍 ! i love n miss u so. https://t.co/h69Dkg8Jm9,"🧊☁️ r.e.m. @ultabeauty  
https://t.co/QnS7aHZZoW https://t.co/FiaguFekdo","RT @TeamAriana: positions signed cds restocked 🤍
limited quantity
https://t.co/g3uZqqrMek",oh santa the remix ! by @mariahcarey feat me &amp; the incredible @iamjhud out now 🤍🧊☁️ and i am no longer in my body https://t.co/ruQUKmy4j0 https://t.co/wanmfNDcic,love u the most always 🤍🤍🤍 #OhSanta in 30 minutes queens  ❄️❄️❄️ @IAMJHUD @MariahCarey ❄️ 🧊 https://t.co/OtJJN0jk1y,!!! https://t.co/0cwcMK5VBV,@MariahCarey @IAMJHUD !!! https://t.co/HxOQqFR6r2,"RT @MariahCarey: Ready girls? 1 hour to go! 🔥🔥🔥 @ArianaGrande @IAMJHUD
https://t.co/k8mBxpsvIN https://t.co/Ep01ulJrLG",how it started / how it's going 🌨 #ohsanta friday @mariahcarey @iamjhud https://t.co/P5DpfUIvNi,RT @MariahCarey: MC x AG x JH 🎤🎤🎤🎅🏼 #OhSanta https://t.co/q96RjFXDFR,,ESFJ
9,TheEllenShow,Happy Day 11 of #12DaysofGiveaways. It’s not too late for your chance to win today’s gifts. Enter here! https://t.co/i96qtFMufs https://t.co/MUnksRqBZN,"@_DionneWarwick Hi, Dionne!",.@LeslieOdomJr told me what it was like watching himself in #Hamilton for the first time. https://t.co/rFWrAiVUWG,Did @Tayshia just give away the ending of #TheBachelorette? https://t.co/vcsq8Cj2Lr,#TwoTruthsandaLie got pretty interesting on the show today. #ThanksSponsor #WW84 https://t.co/uyhJVyCWIG,I was so honored to meet the family behind this viral video of a dad dancing for his son in chemo. https://t.co/Xw677gldck,"Today’s gifts are all about self-care, and because I care about yourself, I want you to head over to https://t.co/i96qtFMufs for your chance to win today’s gifts! https://t.co/uYK3I4GEZ7",.@ChanceTheRapper told me about his tweet from the legendary @_DionneWarwick. https://t.co/ereBCL11vf,"Happy birthday, @NICKIMINAJ. My goodness, how I miss you. https://t.co/spyK0a7Bne",@psutherland0825 😍,Same weekend. Different month. https://t.co/7sC5PpJjRl,There’s no better surprise than Jennifer Aniston behind a couch. https://t.co/uaRAyyOdpn,Tech. Toys. @Official_Twitch. Sounds like a great combination for today’s #12DaysofGiveaways. Go to https://t.co/i96qtFMufs for your chance to win today’s presents.,These are challenging times. Reminder to take a deep breath. Take one now. And then go pet a cat or dog.,.@OfficialJLD is so happy that her character isn’t the only female Vice President anymore. https://t.co/6iXTFqcKN2,ENFP
10,YouTube,@CortniLeyba you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@Ashleylucero11 you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@_mason_potter you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@gregorygoodrow1 you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@kameronortiz you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@labeastboy you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@plush_bones you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@ebon_yyyyyyyy you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@tatertotfunnyaf you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@reddeadlove you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@aIehxander you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@UnRg0t you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@AdrianJuancito you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@jackwyd you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,@blakeybaseball2 you’re all set! We’ll send you a reminder before @MileyCyrus' episode of #RELEASEDonYT! See you this Thursday at 11:45pm ET 😎,ESFP
12,jtimberlake,"BETTER DAYS 
@fairfightaction @AntClemons 
—&gt; https://t.co/hGKLixV7Uo https://t.co/X1ySt5BXFM",Last night @AntClemons &amp; I performed our new song Better Days for @staceyabrams’ Rock The Runoff concert in support of @fairfightaction. All proceeds from the event went towards Fair Fight’s work to ensure every Georgian can be a part of the 1/5 election. https://t.co/uan2xoNPBy https://t.co/ke2nfPzTjI,"RT @fairfightaction: Join us this Thursday for our Rock The Runoff virtual concert. Hosted by @KerryWashington, this is sure to be a night…",,,,,,,,,,,,,ISFP
13,narendramodi,The scheme would enable our small shopkeepers to provide WiFi  service. This will boost incomes as well as ensure our youth gets seamless internet connectivity. It will also strengthen our Digital India mission. https://t.co/U2LlJdHmIt,Historic PM-WANI (Wi-Fi Access Network Interface) scheme that has been cleared by the Cabinet today will revolutionise the tech world and significantly improve WiFi availability across the length and breath of India. It will further ‘Ease of Doing Business’ and ‘Ease of Living.’,Birthday greetings to Smt. Sonia Gandhi Ji. May God bless her with a long and healthy life.,"I am confident that our excellent bilateral relations will continue to expand and flourish under the visionary leadership of His Highness Sheikh Nawaf Al-Ahmed Al-Jaber Al-Sabah, Amir of the State of Kuwait.","Hearty congratulations and best wishes to His Highness Sheikh Sabah Al-Khaled Al-Hamad Al-Sabah, on his re-appointment as the Prime Minister of the State of Kuwait, after the successful National Assembly elections on December 5th.",Had a very pleasant conversation with my good friend  @TamimBinHamad. Conveyed greetings for Qatar's forthcoming National Day. Qatar is a vital pillar of India's energy security and a valued source of FDI. We agreed to deepen our cooperation in all areas.,Addressing the India Mobile Congress. https://t.co/ARitVf1A2q,Congratulations to @investindia for winning the 2020 United Nations Investment Promotion Award given by @UNCTAD. This is a testimony to our government’s focus on making India the world’s preferred investment destination &amp; improving ease of doing business.,"Spoke with my friend @EmmanuelMacron on the challenges and opportunities presented by the post-COVID world.  India stands by France in its fight against terrorism &amp; extremism. The India-France partnership is a force for good in the world, including in the Indo-Pacific.","नई सुविधाओं के लिए, नई व्यवस्थाओं के लिए रिफॉर्म्स बहुत जरूरी हैं। 

पहले रिफॉर्म्स टुकड़ों में होते थे और कुछ सेक्टरों, कुछ विभागों को ध्यान में रखते हुए होते थे। अब एक संपूर्णता की सोच से रिफॉर्म्स किए जा रहे हैं। https://t.co/92o6VPKjn1","टूरिज्म एक ऐसा सेक्टर है, जिसमें हर किसी के लिए कमाई के साधन हैं। कम से कम निवेश में अधिक से अधिक आमदनी टूरिज्म के माध्यम से संभव है।

देश लोकल टूरिज्म के लिए वोकल हो, इसके लिए अनेक स्तरों पर काम चल रहा है। टूरिस्टों के लिए Ease of Travelling भी बढ़ाई जा रही है। https://t.co/ATQEOtW4zh","कनेक्टिविटी और इंफ्रास्ट्रक्चर पर जितना आज खर्च किया जा रहा है, उतना पहले कभी नहीं किया गया।

अब नेशनल इंफ्रास्ट्रक्चर पाइपलाइन प्रोजेक्ट के तहत 100 लाख करोड़ रु से अधिक खर्च करने की भी तैयारी है। 

Multi-Modal Connectivity Infrastructure Master Plan पर भी काम किया जा रहा है। https://t.co/derOMBa8eC","20वीं सदी में जो भूमिका मेट्रो शहरों ने निभाई, उसी को विस्तार देने का काम अब आगरा जैसे छोटे शहर कर रहे हैं।

छोटे शहरों को आत्मनिर्भर भारत की धुरी बनाने के लिए ही इनके विकास पर जोर दिया जा रहा है।

पश्चिमी उत्तर प्रदेश के इन शहरों में हर वो चीज है, जो आत्मनिर्भरता के लिए चाहिए। https://t.co/41Od7LaNOY","8 हजार करोड़ रुपये से अधिक का मेट्रो प्रोजेक्ट आगरा में स्मार्ट सुविधाओं के निर्माण से जुड़े मिशन को और मजबूत करेगा।

यह मेट्रो प्रोजेक्ट हर आगरावासी को तो आधुनिक सुविधा देगा ही, इससे आगरा की अंतर्राष्ट्रीय छवि में भी और निखार आएगा। https://t.co/kdaXlvn6JL",Speaking at the programme to begin construction of Agra Metro Rail Project. https://t.co/xDQLUUfrrZ,ISTP
14,selenagomez,"RT @TeenVogue: ""It's important for me to be authentic and to connect to something. Otherwise, it seems a bit pointless to me. It requires a…",RT @HBOMaxPop: surprise ✨ we dropped a bonus episode of @selenagomez + chef ft. the one and only nana. go find it on @hbomax!! https://t.co…,RT @rarebeauty: “I think we can challenge the beauty norm by changing the conversation &amp; celebrating what makes each of us unique...That’s…,,,,,,,,,,,,,ISFJ
